Name of Book,About,Recall Date,Record Date,Session 1,Session 10,Session 2,Session 3,Session 4,Session 5,Session 6,Session 7,Session 8,Session 9
"“We are kept from our goal, not by obstacles but by a clear path to a lesser goal.”",Thinking Big,"November 20, 2023","December 6, 2022",5 Days,120 Days,7 Days,7 Days,15 Days,15 Days,30 Days,30 Days,60 Days,60 Days
"A Balanced Life The One Thing (https://www.notion.so/The-One-Thing-b62d13af90df40159e82e17c4e54ec66?pvs=21) ",Mindset,"August 9, 2023","December 6, 2022",2Days,,7 Days,5 Days,7 Days,15 Days,30 Days,60 Days,120 Days,
Don’t fear big. Fear mediocrity. Fear waste. Fear the lack of living to your fullest.,Thinking Big,"August 27, 2023","December 6, 2022",2Days,,7 Days,15 Days,30 Days,30 Days,60 Days,120 Days,,
“Judge a man by his questions rather than his answers.”,Mindset,"November 14, 2023","December 7, 2022",7 Days,,5 Days,15 Days,15 Days,30 Days,30 Days,60 Days,60 Days,120 Days
“Until my ONE Thing is done—everything else is a distraction.”,Procrastination,"November 16, 2023","December 7, 2022",2Days,120 Days,5 Days,7 Days,15 Days,15 Days,30 Days,30 Days,60 Days,60 Days
"You’re not the first person to dream big, so you’d be wise to study what others have learned first and then build your actions on the back of their lessons.”",Mindset,"October 17, 2025","December 7, 2022",15 Days,,30 Days,30 Days,60 Days,60 Days,120 Days,365 Days,365 Days,
"When we maximize our reach, we maximize our life.",Mindset,"November 16, 2023","December 7, 2022",2Days,120 Days,5 Days,7 Days,15 Days,15 Days,30 Days,30 Days,60 Days,60 Days
"The further away a reward is in the future, the smaller the immediate motivation to achieve it. ",Thinking Big,"October 9, 2023","December 9, 2022",2Days,,5 Days,5 Days,7 Days,15 Days,30 Days,60 Days,60 Days,120 Days
"Everything needs rest to function better, and you’re no different.",Loving Myself,"September 4, 2023","December 9, 2022",2Days,,7 Days,5 Days,15 Days,30 Days,30 Days,60 Days,120 Days,
"“Life is too
short to be little.”",Thinking Big,"November 19, 2023","December 10, 2022",2Days,120 Days,5 Days,7 Days,15 Days,15 Days,30 Days,30 Days,60 Days,60 Days
The people who achieve extraordinary results don’t achieve them by working more hours. They achieve them by getting more done in the hours they work.,Productivity,"March 21, 2024","December 11, 2022",2Days,182 Days,5 Days,7 Days,15 Days,15 Days,30 Days,30 Days,60 Days,120 Days
“a different result requires doing something different.”,Thinking Big,"July 31, 2023","December 11, 2022",7 Days,,15 Days,30 Days,60 Days,120 Days,,,,
Accountable people achieve results others only dream of.,Mindset,"October 28, 2025","December 11, 2022",2Days,365 Days,5 Days,15 Days,30 Days,30 Days,60 Days,60 Days,120 Days,365 Days
“Focus is a matter of deciding what things you’re not going to do.”,Procrastination,"November 3, 2023","December 11, 2022",5 Days,,7 Days,15 Days,30 Days,30 Days,60 Days,60 Days,120 Days,
"One “yes” must be defended over time by 1,000 “nos.”",Procrastination,"April 30, 2024","December 11, 2022",2Days,,7 Days,15 Days,30 Days,30 Days,60 Days,60 Days,120 Days,182 Days
Saying yes because you can’t bear the short-term pain of saying no is not going to help you do the work,Procrastination,"September 20, 2025","December 11, 2022",7 Days,365 Days,7 Days,15 Days,15 Days,30 Days,30 Days,60 Days,120 Days,365 Days
"“If you don’t take care of your body, where will you live?”",Loving Myself,"September 6, 2023","December 11, 2022",2Days,,5 Days,7 Days,15 Days,30 Days,30 Days,60 Days,120 Days,
"5 Factors of THE HIGHLY PRODUCTIVE PERSON’S DAILY ENERGY PLAN The One Thing (https://www.notion.so/The-One-Thing-b62d13af90df40159e82e17c4e54ec66?pvs=21) ",Loving Myself,"September 4, 2023","December 11, 2022",5 Days,,7 Days,15 Days,30 Days,30 Days,60 Days,120 Days,,
“Only those who will risk going too far can possibly find out how far one can go.”,Mindset,"September 7, 2023","December 11, 2022",15 Days,,15 Days,30 Days,30 Days,60 Days,120 Days,,,
Nothing—absolutely nothing—in this life gives you more satisfaction than knowing you’re on the road to success and achievement.,Career,"November 4, 2023","December 12, 2022",5 Days,,7 Days,15 Days,30 Days,30 Days,60 Days,60 Days,120 Days,
"When you believe I can do it, the how-to-do-it develops.",Thinking Big,"November 14, 2023","December 12, 2022",7 Days,,15 Days,15 Days,30 Days,30 Days,60 Days,60 Days,120 Days,
I’d resolve to live until I die,Loving Myself,"November 14, 2023","December 12, 2022",7 Days,,15 Days,15 Days,30 Days,30 Days,60 Days,60 Days,120 Days,
“I felt sorry for myself because I had ragged shoes until I met a man who had no feet.”,Loving Myself,"September 7, 2023","December 12, 2022",2Days,,5 Days,7 Days,15 Days,30 Days,30 Days,60 Days,120 Days,
“That the right attitude and one arm will beat the wrong attitude and two arms every time.”,Positive Thinking,"September 5, 2023","December 12, 2022",5 Days,,7 Days,15 Days,30 Days,30 Days,60 Days,120 Days,,
Stickability is 95 percent of ability.,Procrastination,"September 5, 2023","December 12, 2022",5 Days,,7 Days,15 Days,30 Days,30 Days,60 Days,120 Days,,
